state	Upper-Lin_II	Lower-Lin_I	Lower-Lin_IV	Upper-Lin_IV	Upper-Lin_I	Lower-Lin_III	Upper-Lin_III
941500000	1902.983006	1938.756368	2003.103435	1969.914077	1833.925576	1977.953850	1931.998272
941600000	1914.384466	1930.133144	2000.035698	1981.809520	1847.056765	1988.971589	1936.329696
941700000	1888.851765	1935.565478	1990.059021	1968.830201	1841.096462	1994.224464	1926.352560
941800000	1889.596592	1942.603449	2004.515614	1980.395531	1840.177845	1999.033854	1921.346639
941900000	1852.264835	1919.800925	2001.059492	1972.043785	1828.363496	1988.610489	1962.053930
942000000	1889.477199	1931.530948	1998.723178	1981.591766	1831.018781	1992.178446	1936.630000
942100000	1846.815369	1878.616668	2001.743377	1980.455158	1792.127960	1987.527045	1922.529895
942200000	1814.885857	1915.009136	1998.498870	1981.990056	1823.071657	2001.598589	1918.744966
942300000	1850.723666	1917.237033	2000.370962	1978.743446	1823.574531	1985.804779	1910.016684
942400000	1862.163765	1889.971913	2006.923217	1968.361604	1797.125786	1992.939899	1880.748558
942500000	1878.019387	1905.418926	1999.550859	1978.503118	1787.305759	1990.064134	1883.077058
942600000	1895.176213	1913.582097	2000.708400	1975.042227	1790.481634	1979.457367	1911.885803
942700000	1853.015360	1909.343884	2003.700685	1977.499485	1830.405278	1994.563491	1918.507358
942800000	1872.458255	1924.403018	1998.374058	1981.396694	1806.637779	1986.064059	1933.579384
942900000	1875.367056	1922.537172	1998.727426	1980.864597	1849.821823	1992.481615	1924.722457
943000000	1847.245655	1882.374934	2004.105892	1978.679664	1796.573766	1982.657919	1896.019352
943100000	1824.636160	1894.985324	2004.640466	1980.648042	1759.855497	1990.014043	1911.136552
943200000	1786.797489	1902.935674	2005.571307	1978.207488	1796.785351	1990.330682	1902.620779
943300000	1867.451546	1901.162416	1995.755802	1981.381218	1788.325977	1983.223375	1902.828551
943400000	1832.519191	1890.560416	1999.680980	1978.294215	1803.328977	1982.508812	1899.974030
943500000	1837.650277	1878.824841	2005.471363	1981.291751	1787.679921	1992.773823	1909.574111
943600000	1800.779775	1878.860413	2008.017037	1973.758126	1726.012779	1983.373895	1868.528185
943700000	1837.006024	1860.804547	2004.928636	1980.123696	1722.602985	1962.264892	1864.818490
943800000	1845.761394	1905.229395	1998.205648	1977.320052	1772.682876	1995.695057	1923.503973
943900000	1842.003200	1879.690558	2001.333400	1977.619386	1780.217856	1991.315443	1899.158086
944000000	1824.700658	1900.351187	2002.105371	1962.713670	1784.058016	1992.037368	1916.198321
944100000	1801.889966	1884.539005	1996.763803	1981.211359	1780.605415	1984.571716	1893.435395
944200000	1844.353621	1927.528421	2003.921676	1977.754837	1836.480260	1983.077496	1946.443580
944300000	1901.772849	1909.669147	1998.164445	1979.764083	1819.106971	2003.421571	1949.640846
944400000	1830.181364	1934.375219	1982.779322	1961.234074	1832.549845	1990.333627	1934.981025
944500000	1843.996415	1933.351986	2000.526400	1979.998879	1834.109181	2000.915674	1933.363002
944600000	1868.450610	1936.452899	2005.480245	1976.637382	1810.628315	1992.069877	1910.300473
944700000	1884.958009	1910.953451	2005.235581	1972.934793	1823.443118	1988.993184	1946.875796
944800000	1893.189737	1926.997274	2001.151745	1981.982739	1825.569145	1999.448127	1911.613139
944900000	1901.316053	1923.798240	2002.677952	1981.067792	1842.053865	1992.490146	1921.254921
945000000	1838.821622	1882.452313	1992.726025	1969.585813	1784.502824	1981.597025	1873.354348
945100000	1846.095728	1902.052972	2000.519283	1981.404707	1807.811889	1991.658863	1906.394569
945200000	1877.969345	1910.207351	2000.643043	1976.251434	1838.370780	1993.735974	1881.751545
945300000	1836.881895	1874.250855	1997.492325	1977.875679	1814.802817	1989.789883	1903.523665
945400000	1843.111327	1892.160183	2005.461075	1981.161945	1836.897154	1992.936415	1916.617258
945500000	1854.627685	1931.236996	2004.206882	1981.889935	1845.981053	1985.475207	1937.702418
945600000	1869.871480	1918.338189	1993.542595	1970.277854	1821.772079	1994.789084	1909.538846
945700000	1858.082463	1912.466414	1996.440957	1977.032495	1821.583901	1996.685381	1941.928329
945800000	1831.740301	1901.609901	1996.419798	1975.347287	1784.017472	1995.116769	1900.359928
945900000	1814.593530	1883.320541	1993.778794	1980.095121	1765.555909	1981.746521	1915.310743
946000000	1808.566843	1896.609298	1999.862974	1975.157992	1819.896778	1980.313520	1910.626608
946100000	1838.050800	1895.122689	2006.788910	1979.887939	1782.400679	1987.000834	1855.037806
946200000	1868.796544	1903.671148	1993.517048	1981.147012	1787.770253	1975.420535	1884.883648
946300000	1788.766909	1868.786099	1992.727214	1971.636298	1722.173159	1990.194478	1856.375895
946400000	1785.435437	1884.632608	2001.448508	1979.358483	1749.095258	1995.079843	1886.782992
946500000	1762.062155	1914.412066	1992.040297	1973.849023	1745.338114	1978.070909	1896.399130
946600000	1862.265668	1913.872774	1991.776719	1981.273796	1797.064276	1981.786936	1913.074393
946700000	1876.115015	1891.139826	2005.766416	1981.317912	1791.470005	1984.901143	1931.126273
946800000	1882.789765	1915.863106	2004.893344	1978.736403	1818.063596	1997.656148	1950.046301
946900000	1865.585364	1908.610526	1999.062761	1981.301644	1805.441289	1979.342369	1938.647689
947000000	1882.931547	1924.091115	1997.192503	1974.999504	1835.391104	1998.061053	1916.776642
947100000	1890.382245	1936.649318	2004.618330	1979.639961	1856.392429	2002.385426	1940.554685
947200000	1900.458801	1915.010954	1993.405738	1977.055720	1820.875197	1996.373205	1919.270428
947300000	1885.393313	1899.437792	2004.946820	1977.321926	1790.902766	2002.037585	1917.412215
947400000	1848.981038	1893.625128	2006.079604	1977.907641	1789.237348	2001.036345	1920.345427
947500000	1811.623057	1857.404652	2005.273841	1978.923007	1772.568332	1986.194487	1913.005807
947600000	1856.082984	1886.815170	1995.597755	1970.793791	1819.558742	1966.919153	1895.128086
947700000	1844.008495	1899.631233	2006.237545	1971.929708	1803.931080	1994.064177	1906.224265
947800000	1850.728332	1882.269843	2003.472016	1969.491318	1768.727784	2004.792951	1909.510986
947900000	1786.653951	1867.882906	1996.721546	1980.993406	1775.231346	1994.848395	1898.257352
948000000	1800.989657	1879.788296	1997.173519	1980.291013	1726.231358	1980.692791	1897.439211
948100000	1784.084158	1848.642004	2000.379309	1960.185061	1713.427784	1973.723662	1902.128091
948200000	1781.409337	1853.395465	1999.859993	1959.287147	1713.846418	1983.024949	1877.955475
948300000	1795.271208	1863.477128	2004.451263	1974.933367	1741.516067	1993.547548	1880.683905
948400000	1859.050563	1895.442835	2005.315487	1981.915544	1772.834121	1997.576087	1886.401563
948500000	1840.186522	1868.052196	1991.176111	1963.892278	1753.373989	1985.047474	1878.754970
948600000	1858.850331	1894.197356	2004.228866	1971.467320	1821.509837	1995.264817	1894.906643
948700000	1847.340021	1912.272934	2000.020286	1978.873858	1804.811599	1980.528907	1912.171256
